Pouplation,GDP
11.5554,21.7134
11.9702,21.8713
17.459,24.0229
15.0836,22.7703
14.9136,23.1871
17.0926,24.4758
14.1306,23.9447
16.1533,26.0181
14.8819,24.4464
14.5673,23.3919
10.5313,22.5588
10.9585,19.0337
17.8298,26.4841
12.7964,21.2678
15.394,24.7265
14.5507,21.044
16.5577,23.6164
13.9648,23.7079
16.2425,25.1907
16.0419,24.362
17.354,23.7143
10.9351,21.6392
15.1307,23.4282
16.134,21.8561
16.8586,25.1128
11.9944,22.4655
15.5531,26.4359
11.3294,22.6391
18.4416,26.4027
16.6802,25.9403
12.5104,20.4484
17.4527,26.892
14.0487,23.1822
10.5379,22.5573
17.1119,23.7872
17.7476,27.9551
16.6013,25.3213
18.3421,26.5305
13.5508,21.8855
15.2515,24.6259
15.2133,22.2979
16.6452,27.3635
10.4125,21.144
9.4315,18.4203
14.6549,23.1786
11.5872,22.0445
15.5266,26.4534
15.66,23.8776
19.5861,30.5335
13.9713,23.302
16.197,26.0044
10.9297,20.3093
18.179,27.48
16.1853,22.8894
12.5614,22.2762
18.3446,25.9872
9.7793,19.4516
16.2296,24.4885
15.9502,22.7844
15.7159,24.3113
10.9292,20.6518
12.7093,23.5765
16.4625,23.1162
16.1459,24.9883
17.5798,27.1114
19.0148,26.927
11.6046,20.7203
11.4449,21.0435
15.9083,23.8017
11.173,20.1084
16.4412,23.7172
15.8066,22.1534
19.111,26.3237
16.2519,22.8974
16.2464,22.8368
15.6747,24.0498
15.5165,26.1811
11.6167,18.9579
13.2342,22.2892
13.5637,20.6883
17.1423,24.6188
17.4976,25.8351
16.8113,22.6998
13.7256,21.6175
15.462,26.6786
14.8771,23.3756
17.922,28.2386
18.429,24.8913
15.6923,24.6348
15.6001,22.6221
15.0606,25.3616
15.0479,23.509
16.9639,24.1545
15.5063,25.2058
18.0141,28.5223
14.5377,21.5517
15.1598,25.4644
15.9414,26.4264
11.4464,21.0135
12.9358,23.2828
14.7577,25.8093
14.889,23.0797
18.0455,26.718
17.6538,27.8093
15.6438,23.2693
16.0415,26.6042
17.2323,25.9693
13.3082,24.5379
12.8326,23.1873
16.0657,24.7567
15.9296,27.2451
13.6747,22.2671
17.7798,24.8124
16.0824,24.695
16.1713,25.9535
14.0897,23.8609
17.6842,24.8823
17.4766,25.2953
13.0279,22.1365
15.8022,26.4578
13.0059,23.095
16.6336,22.5754
10.78,21.6468
14.3678,20.77
10.4907,20.6107
13.341,22.1227
17.1129,23.4928
15.3181,21.251
16.9859,27.9324
14.4822,23.3889
15.7865,24.6393
16.0978,26.9451
9.3146,17.3848
11.6005,20.4428
15.9722,26.6682
21.039,30.0303
18.1495,24.3587
15.3406,25.9006
14.5476,23.0323
16.7042,26.2201
17.2591,25.1281
16.6742,23.2958
15.775,24.4028
18.2184,28.8431
12.0958,21.2295
13.4979,21.4459
17.7568,24.5814
17.3907,28.0711
15.5321,24.3012
16.238,26.8592
16.1741,22.8389
12.1731,20.4854
14.8735,23.1557
16.712,23.0669
13.9145,22.1277
17.0033,23.1501
13.2527,24.7793
18.6184,27.7885
18.1785,26.6788
16.9608,24.2237
15.2671,23.2627
16.0252,23.7668
15.0428,24.6987
18.867,25.9967
